node_id,node_type,event_name,date,location,description,purpose,exhibit_name,source_count,max_sources_required,source_references
LOC_001,local,Establishment of Tea Plantations in Ceylon,1867-01-01,Sri Lanka (Central Highlands),Large-scale tea cultivation introduced after the collapse of the coffee industry caused by coffee leaf rust,Commercial export agriculture,Tea Heritage Exhibit,4,6,British Plantation Records; Sri Lanka Tea Board Archive; Colonial Agricultural Reports; Wikipedia
LOC_002,local,Expansion of the Ceylon Railway Network,1864-01-01,Sri Lanka (Colombo–Kandy),Railway lines expanded to connect plantation regions with ports to facilitate export logistics,Transportation of plantation goods,Railway History Exhibit,3,5,Ceylon Railway Department Records; British Colonial Blue Books; National Archives Sri Lanka
LOC_003,local,Decline of Coffee Plantations in Ceylon,1869-01-01,Sri Lanka (Central Province),Coffee plantations declined rapidly due to widespread coffee leaf rust disease,Agricultural transition,Coffee-to-Tea Transition Exhibit,3,5,Colonial Agricultural Journals; Plantation Industry Reports; Wikipedia
LOC_004,local,Development of Colombo Port as a Colonial Trade Hub,1870-01-01,Colombo Sri Lanka,Port infrastructure expanded to handle increasing volumes of tea and commodity exports,Maritime trade facilitation,Colombo Port Heritage Exhibit,4,6,Sri Lanka Ports Authority Archive; British Trade Ledgers; Colonial Shipping Records; UNESCO Trade Routes
LOC_005,local,Introduction of Steam-Powered Machinery in Plantations,1875-01-01,Sri Lanka (Plantation Regions),Steam-powered machinery adopted in tea processing to improve efficiency and production scale,Industrial efficiency,Industrial Technology Exhibit,2,4,Colonial Engineering Reports; Plantation Machinery Manuals
LOC_006,local,Expansion of British Plantation Administration,1865-01-01,Sri Lanka (Central Highlands),British colonial administration expanded oversight and regulation of plantation economies,Colonial economic management,Colonial Governance Exhibit,3,5,British Colonial Blue Books; Administrative Correspondence; National Archives Sri Lanka
LOC_007,local,Migration of South Indian Tamil Labor to Plantations,1840-01-01,Sri Lanka (Hill Country),Large-scale migration of laborers from South India to work on coffee and tea plantations,Plantation labor supply,Labor History Exhibit,4,6,Colonial Census Records; Labor Migration Studies; Plantation Reports; Wikipedia
LOC_008,local,Establishment of Plantation-Based Export Economy,1870-01-01,Sri Lanka,Shift from subsistence agriculture toward an export-oriented plantation economy,Economic restructuring,Economic History Exhibit,3,5,Colonial Economic Surveys; British Trade Statistics; Sri Lanka Economic History Texts
LOC_009,local,Introduction of Modern Irrigation for Plantations,1872-01-01,Sri Lanka (Central Highlands),Irrigation techniques introduced to stabilize plantation output and mitigate climate variability,Agricultural productivity,Plantation Technology Exhibit,2,4,Colonial Engineering Surveys; Agricultural Development Reports
LOC_010,local,Urban Growth of Colombo Under Colonial Rule,1860-01-01,Colombo Sri Lanka,Colombo expanded rapidly as a commercial and administrative center under British colonial rule,Urban development,Colonial Urban History Exhibit,4,6,Colonial Urban Planning Records; Census Data; British Administrative Reports; Wikipedia
LOC_011,local,Expansion of Export-Oriented Road Networks,1855-01-01,Sri Lanka (Western and Central Provinces),Road networks expanded to connect inland plantations with coastal ports,Trade and transport connectivity,Transport Infrastructure Exhibit,3,5,Public Works Department Reports; Colonial Maps; National Archives Sri Lanka
LOC_012,local,Formalization of Tea Auction System in Colombo,1883-01-01,Colombo Sri Lanka,Tea auction system established to regulate pricing and streamline global tea trade,Market organization,Tea Trade Exhibit,3,5,Tea Trade Association Records; Colombo Commercial Archives; British Trade Publications
LOC_013,local,Introduction of Buddhism to Sri Lanka (Mahinda Mission),247 BCE,"Anuradhapura, Sri Lanka","Mission led by Mahinda (traditionally linked to Emperor Ashoka’s Mauryan court) introduced Buddhism, embedding Sri Lanka in trans-Asian Buddhist networks that later connected India, Southeast Asia, and the wider Indian Ocean.",Religion/Culture (Transnational),Ancient Sri Lanka & Indian Ocean Exchange Exhibit,2,4,Wikipedia (page extract); related historical scholarship
LOC_014,local,Arrival of Prince Vijaya and Indo-Aryan Settlement Traditions,543 BCE,Northwestern Sri Lanka (traditional landing sites),Foundational migration narratives link early state formation to broader South Asian population movements and cultural diffusion across the Bay of Bengal region.,Migration/Culture,Origins of Sri Lankan Polity Exhibit,2,4,Wikipedia (page extract); related historical scholarship
